Customer_ID,Last_Purchase_Date,Churn_Flag,Churn_Reason
C001,2024-09-27,0,Active
C002,2024-02-12,0,Inactivity
C003,2024-01-21,0,Low Engagement
C004,2024-07-22,0,Active
C005,2023-03-19,0,Inactivity
C006,2023-07-13,0,Active
C007,2023-10-12,1,Active
C008,2024-06-10,0,Active
C009,2024-06-07,0,Active
C010,2024-09-04,0,Active
C011,2023-06-05,0,Active
C012,2023-12-06,0,Inactivity
C013,2023-05-05,0,Inactivity
C014,2023-10-07,1,Active
C015,2024-09-13,0,Low Engagement
C016,2024-10-19,0,Active
C017,2023-05-08,0,Active
C018,2023-11-10,0,Active
C019,2023-11-28,0,Active
C020,2023-05-30,0,Active
C021,2024-03-29,0,Active
C022,2023-02-05,0,Active
C023,2024-02-24,0,Competitor
C024,2023-01-22,0,Active
C025,2023-07-25,0,Active
C026,2024-09-30,0,Active
C027,2023-12-22,0,Active
C028,2024-03-15,0,Active
C029,2023-04-06,0,Inactivity
C030,2023-06-13,0,Active
C031,2023-05-28,0,Active
C032,2024-06-13,0,Active
C033,2023-10-21,1,Active
C034,2023-07-14,0,Active
C035,2024-10-24,1,Active
C036,2024-04-24,0,Low Engagement
C037,2023-05-03,0,Active
C038,2024-02-04,0,Active
C039,2024-03-27,0,Active
C040,2024-10-22,0,Active
C041,2023-04-14,0,Active
C042,2024-04-06,0,Low Engagement
C043,2024-01-31,0,Active
C044,2023-12-03,1,Active
C045,2024-08-21,1,Active
C046,2023-05-22,0,Active
C047,2023-11-13,0,Active
C048,2024-07-11,0,Active
C049,2024-06-10,0,Active
C050,2024-07-09,0,Active
C051,2024-02-05,1,Inactivity
C052,2023-11-06,0,Active
C053,2024-05-09,0,Active
C054,2024-07-09,0,Active
C055,2024-09-01,1,Active
C056,2023-04-19,0,Active
C057,2024-01-07,0,Active
C058,2024-09-07,1,Active
C059,2023-07-25,0,Active
C060,2023-02-12,1,Active
C061,2023-09-02,0,Active
C062,2023-10-14,1,Competitor
C063,2023-12-21,0,Active
C064,2024-04-20,0,Active
C065,2023-03-24,1,Active
C066,2023-04-20,0,Active
C067,2023-07-09,0,Active
C068,2023-09-08,0,Active
C069,2023-10-18,0,Inactivity
C070,2024-10-06,0,Active
C071,2023-07-20,0,Active
C072,2023-11-22,0,Active
C073,2024-05-25,0,Active
C074,2024-02-13,0,Active
C075,2024-08-29,0,Competitor
C076,2024-05-22,1,Active
C077,2024-08-23,1,Inactivity
C078,2023-03-13,1,Inactivity
C079,2023-09-04,0,Inactivity
C080,2024-10-02,0,Active
C081,2024-08-30,0,Active
C082,2024-08-09,0,Active
C083,2024-07-19,0,Active
C084,2023-12-10,0,Active
C085,2023-02-23,0,Competitor
C086,2024-06-11,1,Active
C087,2024-09-02,0,Active
C088,2024-06-15,0,Active
C089,2024-07-11,0,Active
C090,2023-07-12,0,Active
C091,2023-02-27,1,Inactivity
C092,2024-03-12,0,Active
C093,2023-04-21,0,Competitor
C094,2023-05-09,0,Competitor
C095,2023-11-22,0,Competitor
C096,2023-01-08,0,Active
C097,2023-01-29,1,Inactivity
C098,2023-04-22,1,Active
C099,2023-05-11,1,Active
C100,2023-07-07,0,Active
C101,2024-04-19,1,Active
C102,2023-12-30,0,Active
C103,2023-07-23,0,Active
C104,2023-07-31,0,Active
C105,2024-09-12,0,Low Engagement
C106,2023-10-03,0,Active
C107,2023-03-14,1,Active
C108,2023-08-31,0,Active
C109,2023-04-12,0,Active
C110,2023-06-20,0,Low Engagement
C111,2024-10-14,1,Active
C112,2023-07-07,1,Active
C113,2024-03-16,1,Active
C114,2023-03-27,0,Low Engagement
C115,2024-04-20,0,Active
