Customer_ID,Age,Gender,Region,Income_Level,Membership_Since,Preferred_Channel
C001,58,Female,North,Low,2023-08-18,Online
C002,48,Male,North,High,2019-09-17,Store
C003,34,Female,East,Medium,2023-03-06,Store
C004,27,Female,Central,Low,2021-06-30,Store
C005,40,Male,South,High,2022-09-12,Online
C006,58,Male,South,High,2018-10-30,Online
C007,38,Female,East,High,2019-10-01,Store
C008,42,Female,South,Low,2018-02-25,Online
C009,30,Male,North,Medium,2019-12-27,Online
C010,30,Female,Central,Medium,2019-06-10,Online
C011,43,Male,West,Medium,2019-04-19,Store
C012,55,Female,South,High,2018-01-28,Store
C013,59,Male,North,Medium,2023-10-27,Online
C014,43,Male,West,High,2018-12-31,Store
C015,22,Male,Central,High,2019-06-10,Online
C016,41,Female,West,High,2021-08-28,Online
C017,21,Female,North,Medium,2020-06-01,Online
C018,43,Male,West,Low,2020-10-27,Online
C019,49,Female,East,Medium,2020-10-23,Store
C020,57,Male,West,High,2022-07-05,Store
C021,21,Male,South,Low,2020-07-07,Store
C022,40,Female,South,Medium,2024-08-07,Online
C023,52,Female,East,Low,2022-11-10,Online
C024,31,Male,North,Medium,2022-03-12,Online
C025,41,Female,South,High,2023-03-22,Store
C026,44,Female,Central,High,2021-04-30,Online
C027,46,Male,South,Low,2022-07-13,Store
C028,47,Male,South,High,2019-04-30,Store
C029,35,Female,North,Medium,2023-09-07,Store
C030,34,Male,West,Medium,2019-12-15,Store
C031,22,Male,South,Medium,2020-11-28,Store
C032,56,Female,East,Medium,2023-05-31,Store
C033,26,Male,West,Medium,2021-07-20,Online
C034,40,Male,Central,Medium,2021-06-08,Online
C035,28,Female,North,Low,2023-11-04,Store
C036,58,Female,Central,Medium,2018-05-06,Store
C037,37,Male,West,Medium,2019-06-21,Online
C038,23,Male,West,Low,2024-01-02,Store
C039,44,Female,West,Medium,2023-09-04,Store
C040,33,Female,Central,Medium,2022-05-23,Online
C041,28,Female,West,Medium,2018-03-08,Store
C042,45,Female,Central,Medium,2018-08-21,Store
C043,21,Male,West,High,2023-11-27,Store
C044,39,Female,East,Medium,2021-03-15,Online
C045,47,Female,West,Medium,2023-11-29,Online
C046,26,Male,Central,Low,2024-03-25,Online
C047,27,Female,South,Medium,2018-04-21,Store
C048,54,Male,West,Medium,2022-02-02,Store
C049,33,Female,South,Low,2023-09-13,Online
C050,36,Female,East,Medium,2019-09-15,Store
C051,55,Female,North,Medium,2024-10-08,Store
C052,59,Male,East,High,2022-03-22,Store
C053,23,Male,West,High,2021-07-29,Store
C054,21,Female,South,Medium,2022-10-28,Store
C055,25,Male,South,Medium,2023-05-30,Online
C056,23,Male,Central,Low,2024-06-20,Store
