Transaction_ID,Customer_ID,Store_ID,Product_Category,Transaction_Date,Amount,Promotion_Applied
T0001,C051,S17,Home & Living,2023-12-30,129.29,No
T0002,C072,S06,Home & Living,2024-09-23,788.59,No
T0003,C110,S08,Apparel,2023-04-25,419.72,No
T0004,C044,S19,Groceries,2023-08-25,333.99,Yes
T0005,C087,S19,Home & Living,2023-10-05,671.25,No
T0006,C014,S14,Groceries,2024-03-17,722.45,No
T0007,C197,S13,Groceries,2023-03-16,661.62,No
T0008,C115,S03,Home & Living,2023-02-11,469.68,Yes
T0009,C197,S05,Home & Living,2023-01-17,336.09,No
T0010,C050,S16,Home & Living,2024-08-10,181.01,Yes
T0011,C092,S03,Electronics,2023-01-27,722.01,No
T0012,C136,S17,Apparel,2023-06-17,215.57,No
T0013,C121,S08,Groceries,2024-03-30,467.17,No
T0014,C149,S13,Home & Living,2024-04-20,621.31,No
T0015,C021,S20,Apparel,2023-05-10,149.7,No
T0016,C053,S04,Apparel,2023-10-19,621.37,Yes
T0017,C097,S05,Groceries,2023-10-23,361.01,No
T0018,C046,S06,Electronics,2023-07-06,251.75,No
T0019,C196,S03,Home & Living,2023-04-08,329.39,No
T0020,C131,S01,Electronics,2024-02-10,591.41,Yes
T0021,C068,S12,Home & Living,2024-07-01,441.08,Yes
T0022,C021,S03,Electronics,2023-09-01,60.11,No
T0023,C005,S09,Groceries,2023-12-31,140.64,No
T0024,C002,S14,Groceries,2024-03-25,103.15,Yes
T0025,C120,S03,Groceries,2023-01-17,341.98,No
T0026,C180,S17,Home & Living,2024-09-07,359.17,Yes
T0027,C042,S13,Electronics,2023-05-11,80.66,Yes
T0028,C057,S10,Groceries,2024-03-10,232.27,No
T0029,C119,S16,Home & Living,2023-10-02,265.39,No
T0030,C195,S06,Electronics,2023-01-17,761.19,No
T0031,C012,S04,Electronics,2023-01-12,442.68,No
T0032,C077,S02,Groceries,2024-10-22,612.05,No
T0033,C141,S19,Apparel,2023-07-19,214.74,No
T0034,C131,S12,Home & Living,2024-10-16,560.68,Yes
T0035,C006,S07,Apparel,2024-06-21,50.75,No
T0036,C099,S06,Apparel,2024-02-05,160.85,No
T0037,C023,S18,Home & Living,2023-09-07,264.03,Yes
T0038,C099,S09,Electronics,2024-06-02,251.93,No
T0039,C021,S02,Home & Living,2024-05-12,348.97,No
T0040,C169,S02,Home & Living,2023-08-11,692.39,No
T0041,C099,S06,Apparel,2024-02-06,427.5,No
T0042,C180,S16,Electronics,2024-06-09,485.09,Yes
T0043,C178,S11,Groceries,2023-07-07,395.23,No
T0044,C032,S08,Home & Living,2023-06-20,285.1,No
T0045,C013,S07,Groceries,2023-12-30,466.49,No
T0046,C137,S10,Apparel,2024-05-30,636.76,Yes
T0047,C114,S11,Electronics,2023-06-10,711.06,No
T0048,C102,S09,Apparel,2024-03-25,39.03,No
T0049,C094,S18,Groceries,2024-02-18,20.19,Yes
T0050,C023,S05,Electronics,2023-10-01,752.47,No
T0051,C054,S18,Electronics,2023-02-08,27.4,Yes
T0052,C063,S18,Groceries,2024-04-21,49.33,No
T0053,C132,S14,Electronics,2023-09-29,701.47,No
T0054,C132,S15,Home & Living,2023-09-23,91.53,Yes
T0055,C101,S19,Electronics,2023-12-06,595.31,Yes
T0056,C167,S19,Apparel,2023-01-03,384.5,Yes
T0057,C099,S02,Home & Living,2023-11-20,578.13,No
T0058,C163,S07,Apparel,2024-03-07,33.94,No
T0059,C041,S01,Groceries,2024-08-07,105.38,Yes
T0060,C028,S19,Home & Living,2023-05-20,766.0,No
T0061,C067,S10,Home & Living,2024-01-15,345.71,No
